Domain,Observation_ID,Study_or_target_group,Grain,PC1,PC2,PC1_explained_variance,PC2_explained_variance
Historical 906,V44_89c216257b42,Atakora2011_BarleyCornCP,record,-1.357120221818426,-3.037131219061647,0.3581851925549009,0.2292279722724193
Historical 906,V44_1249b563f27d,Atakora2011_BarleyCornCP,record,-2.948559567727986,-0.8485069927926945,0.3581851925549009,0.2292279722724193
Historical 906,V44_144954d0b03b,Atakora2011_BarleyCornCP,record,-1.949798560192496,-1.888328936708452,0.3581851925549009,0.2292279722724193
Historical 906,V44_00e54b0c519b,Atakora2011_BarleyCornCP,record,-1.154167388970169,-2.743389280849941,0.3581851925549009,0.2292279722724193
Historical 906,V44_53519c3681c0,Atakora2011_BarleyCornCP,record,-1.786552667758093,-1.84732746911139,0.3581851925549009,0.2292279722724193
Historical 906,V44_be50823f1a8a,Atakora2011_WheatCPP,record,-0.837543708611171,-2.106768667755864,0.3581851925549009,0.2292279722724193
Historical 906,V44_1c786fed315c,Atakora2011_WheatCPP,record,-1.656252940419165,-0.999799027562767,0.3581851925549009,0.2292279722724193
Historical 906,V44_a70dc8d7b2cf,Atakora2011_WheatCPP,record,-1.695539051038854,-1.33895002681285,0.3581851925549009,0.2292279722724193
Historical 906,V44_e9bfc4648162,Atakora2011_WheatCPP,record,-1.753097299916536,-0.9248723005503435,0.3581851925549009,0.2292279722724193
Historical 906,V44_904830a93bf0,Atakora2011_WheatCPP,record,-1.772703163341086,-1.261295338056973,0.3581851925549009,0.2292279722724193
Historical 906,V44_823e9fba0f84,Atakora2011_WheatCPP,record,-1.824661837640957,-1.33573735019541,0.3581851925549009,0.2292279722724193
Historical 906,V44_08ce94e7e7c9,Hernandez2011_Animal_LowCP,record,-1.825861683717884,-1.018067622947928,0.3581851925549009,0.2292279722724193
Historical 906,V44_4ae274573a61,Hernandez2011_Animal_LowCP,record,-2.299556087171789,-0.6182484091906889,0.3581851925549009,0.2292279722724193
Historical 906,V44_c12af4c45317,Hernandez2011_Animal_LowCP,record,-1.858348786965552,-0.8824455063509544,0.3581851925549009,0.2292279722724193
Historical 906,V44_17f7219bd99e,Hernandez2011_Animal_LowCP,record,-0.03508940291015829,-0.4530223597432266,0.3581851925549009,0.2292279722724193
Historical 906,V44_ea9f1f5bb58b,Hernandez2011_Animal_LowCP,record,-0.9256144331541653,0.2033290884500968,0.3581851925549009,0.2292279722724193
Historical 906,V44_cdd89011e89b,Hernandez2011_Animal_LowCP,record,-0.5303970529210549,-0.2051716423863033,0.3581851925549009,0.2292279722724193
Historical 906,V44_b0f9b92f7870,Liao2011_Boron_PDiet,record,-0.9793634758926167,-0.3281271469175439,0.3581851925549009,0.2292279722724193
Historical 906,V44_67fb5d211683,Liao2011_Boron_PDiet,record,-0.9893553371548042,-0.3330542881308666,0.3581851925549009,0.2292279722724193
Historical 906,V44_b2a1bb45e828,Liao2011_Boron_PDiet,record,-0.975944195738727,-0.3312334764664665,0.3581851925549009,0.2292279722724193
Historical 906,V44_b3c67d1dbcaa,Murphy2011_AFST,record,-0.9011982302361544,-1.830056673460702,0.3581851925549009,0.2292279722724193
Historical 906,V44_0eb428af2b79,Murphy2011_AFST,record,-0.8613071831059632,-1.787178879388829,0.3581851925549009,0.2292279722724193
Historical 906,V44_0ed97667dc8e,Murphy2011_AFST,record,-0.9805007406015795,-1.983562309845393,0.3581851925549009,0.2292279722724193
